Operações;BubbleSort1(Caso Médio);InsertionSort(Caso Médio);Heapsort(Caso Médio);BubbleSort1(Caso Díficil);InsertionSort(Caso Díficil);Heapsort(Caso Díficil)
757;286146;143975;13544;286146;286902;12550
758;286903;145147;13608;286903;287660;12445
759;287661;143255;13595;287661;288419;12525
760;288420;145433;13619;288420;289179;12456
761;289180;143918;13651;289180;289940;12564
762;289941;146149;13658;289941;290702;12523
763;290703;146528;13697;290703;291465;12559
764;291466;147100;13710;291466;292229;12602
765;292230;148940;13720;292230;292994;12718
766;292995;145877;13758;292995;293760;12637
767;293761;147045;13770;293761;294527;12605
768;294528;148404;13765;294528;295295;12600
769;295296;146958;13792;295296;296064;12632
770;296065;148748;13828;296065;296834;12639
771;296835;149621;13857;296835;297605;12687
772;297606;148232;13890;297606;298377;12658
773;298378;150307;13909;298378;299150;12786
774;299151;148978;13919;299151;299924;12725
775;299925;149970;13930;299925;300699;12753
776;300700;150149;13934;300700;301475;12748
777;301476;150294;14003;301476;302252;12832
778;302253;151481;13995;302253;303030;12767
779;303031;153406;14032;303031;303809;12839
780;303810;154561;14061;303810;304589;12862
781;304590;152126;14024;304590;305370;12994
782;305371;154525;14072;305371;306152;12937
783;306153;153496;14106;306153;306935;12929
784;306936;153633;14115;306936;307719;12916
785;307720;154054;14144;307720;308504;12972
786;308505;152124;14159;308505;309290;12939
787;309291;154783;14200;309291;310077;12991
788;310078;155421;14209;310078;310865;12974
789;310866;154954;14231;310866;311654;13134
790;311655;156829;14248;311655;312444;13081
791;312445;154480;14241;312445;313235;13081
792;313236;156804;14267;313236;314027;13044
793;314028;158341;14314;314028;314820;13148
794;314821;156458;14313;314821;315614;13119
795;315615;157418;14342;315615;316409;13143
796;316410;158531;14361;316410;317205;13186
797;317206;158663;14369;317206;318002;13358
798;318003;160146;14408;318003;318800;13237
799;318801;159761;14453;318801;319599;13241
800;319600;160469;14471;319600;320399;13284
801;320400;162964;14503;320400;321200;13308
802;321201;159980;14493;321201;322002;13279
803;322003;159109;14491;322003;322805;13339
804;322806;161175;14551;322806;323609;13322
805;323610;163347;14540;323610;324414;13454
806;324415;163483;14565;324415;325220;13357
807;325221;161843;14576;325221;326027;13401
808;326028;163856;14620;326028;326835;13396
809;326836;167505;14630;326836;327644;13476
810;327645;164286;14661;327645;328454;13415
811;328455;165748;14658;328455;329265;13451
812;329266;165004;14713;329266;330077;13478
813;330078;167715;14714;330078;330890;13610
814;330891;166385;14740;330891;331704;13557
815;331705;165010;14760;331705;332519;13565
816;332520;167775;14788;332520;333335;13560
817;333336;168838;14815;333336;334152;13644
818;334153;168239;14834;334153;334970;13623
819;334971;168769;14820;334971;335789;13611
820;335790;168894;14860;335790;336609;13622
821;336610;168074;14868;336610;337430;13734
822;337431;165826;14926;337431;338252;13673
823;338253;169789;14956;338253;339075;13689
824;339076;171462;14981;339076;339899;13656
825;339900;170371;14958;339900;340724;13784
826;340725;170896;14973;340725;341550;13759
827;341551;170974;15013;341551;342377;13771
828;342378;171509;14996;342378;343205;13818
829;343206;171773;15052;343206;344034;13994
830;344035;172218;15078;344035;344864;13865
831;344865;175267;15097;344865;345695;13917
832;345696;173457;15123;345696;346527;13860
833;346528;174225;15116;346528;347360;13936
834;347361;174439;15185;347361;348194;13931
835;348195;175263;15181;348195;349029;13955
836;349030;175391;15198;349030;349865;13974
837;349866;175167;15236;349866;350702;14054
838;350703;177552;15242;350703;351540;13957
839;351541;176143;15259;351541;352379;14045
840;352380;176150;15286;352380;353219;13996
841;353220;176381;15312;353220;354060;14100
842;354061;175767;15330;354061;354902;14067
843;354903;178601;15354;354903;355745;14103
844;355746;177018;15357;355746;356589;14094
845;356590;176901;15404;356590;357434;14286
846;357435;178481;15438;357435;358280;14209
847;358281;180694;15438;358281;359127;14209
848;359128;179077;15449;359128;359975;14204
849;359976;182827;15476;359976;360824;14272
850;360825;180829;15498;360825;361674;14263
851;361675;182549;15520;361675;362525;14283
852;362526;180894;15545;362526;363377;14278
853;363378;182931;15581;363378;364230;14350
854;364231;180243;15573;364231;365084;14301
855;365085;183016;15608;365085;365939;14357
856;365940;184228;15624;365940;366795;14356
857;366796;185914;15655;366796;367652;14412
858;367653;183557;15677;367653;368510;14391
859;368511;186370;15684;368511;369369;14431
860;369370;184936;15673;369370;370229;14434
861;370230;186263;15738;370230;371090;14574
862;371091;185609;15741;371091;371952;14517
863;371953;186935;15763;371953;372815;14513
864;372816;185764;15784;372816;373679;14492
865;373680;187095;15808;373680;374544;14648
866;374545;188245;15817;374545;375410;14579
867;375411;188759;15858;375411;376277;14587
868;376278;187395;15866;376278;377145;14610
869;377146;191099;15921;377146;378014;14694
870;378015;190840;15901;378015;378884;14601
871;378885;188820;15919;378885;379755;14657
872;379756;190005;15958;379756;380627;14588
873;380628;191155;15955;380628;381500;14712
874;381501;190992;16001;381501;382374;14695
875;382375;189043;16032;382375;383249;14755
876;383250;193950;16053;383250;384125;14726
877;384126;194944;16050;384126;385002;14922
878;385003;192053;16073;385003;385880;14829
879;385881;191588;16121;385881;386759;14801
880;386760;196094;16122;386760;387639;14808
881;387640;193428;16160;387640;388520;14920
882;388521;194961;16194;388521;389402;14867
883;389403;195287;16205;389403;390285;14891
884;390286;197602;16201;390286;391169;14914
885;391170;196384;16241;391170;392054;14998
886;392055;195276;16253;392055;392940;14949
887;392941;196076;16269;392941;393827;15017
888;393828;197090;16302;393828;394715;14920
889;394716;198830;16311;394716;395604;15076
890;395605;198139;16337;395605;396494;15007
891;396495;196494;16360;396495;397385;15043
892;397386;197961;16390;397386;398277;15078
893;398278;201055;16402;398278;399170;15258
894;399171;200492;16418;399171;400064;15145
895;400065;201378;16421;400065;400959;15145
896;400960;202321;16479;400960;401855;15128
897;401856;200257;16482;401856;402752;15200
898;402753;203218;16534;402753;403650;15231
899;403651;203829;16532;403651;404549;15231
900;404550;202254;16525;404550;405449;15278
901;405450;203325;16563;405450;406350;15358
902;406351;204811;16629;406351;407252;15265
903;407253;203266;16614;407253;408155;15301
904;408156;204806;16600;408156;409059;15296
905;409060;205648;16630;409060;409964;15404
906;409965;204464;16654;409965;410870;15351
907;410871;204937;16705;410871;411777;15359
908;411778;207408;16724;411778;412685;15410
909;412686;207260;16720;412686;413594;15566
910;413595;205882;16751;413595;414504;15457
911;414505;206375;16769;414505;415415;15481
912;415416;207209;16808;415416;416327;15456
913;416328;211370;16821;416328;417240;15544
914;417241;211711;16841;417241;418154;15503
915;418155;210635;16863;418155;419069;15519
916;419070;210600;16865;419070;419985;15602
917;419986;210073;16911;419986;420902;15666
918;420903;209275;16918;420903;421820;15577
919;421821;211902;16917;421821;422739;15577
920;422740;210328;16963;422740;423659;15596
921;423660;214225;16965;423660;424580;15696
922;424581;214414;17009;424581;425502;15667
923;425503;212338;17008;425503;426425;15655
924;426426;212957;17028;426426;427349;15730
925;427350;215786;17090;427350;428274;15878
926;428275;215695;17104;428275;429200;15773
927;429201;216987;17091;429201;430127;15773
928;430128;217275;17124;430128;431055;15780
929;431056;216169;17153;431056;431984;15860
930;431985;216226;17174;431985;432914;15823
931;432915;220158;17212;432915;433845;15839
932;433846;216649;17197;433846;434777;15890
933;434778;217977;17221;434778;435710;15958
934;435711;217067;17251;435711;436644;15889
935;436645;221810;17277;436645;437579;15929
936;437580;218015;17319;437580;438515;15900
937;438516;220493;17315;438516;439452;16020
938;439453;218536;17316;439453;440390;15987
939;440391;221465;17367;440391;441329;16011
940;441330;221863;17414;441330;442269;16054
941;442270;222836;17402;442270;443210;16194
942;443211;221692;17432;443211;444152;16121
943;444153;219361;17431;444153;445095;16113
944;445096;221758;17501;445096;446039;16104
945;446040;226033;17486;446040;446984;16196
946;446985;225599;17514;446985;447930;16143
947;447931;222870;17501;447931;448877;16183
948;448878;223978;17562;448878;449825;16270
949;449826;222760;17605;449826;450774;16274
950;450775;223710;17585;450775;451724;16217
951;451725;226450;17625;451725;452675;16225
952;452676;224348;17627;452676;453627;16268
953;453628;226494;17641;453628;454580;16332
954;454581;229050;17664;454581;455534;16275
955;455535;226254;17723;455535;456489;16323
956;456490;229402;17709;456490;457445;16374
957;457446;229505;17728;457446;458402;16522
958;458403;228727;17802;458403;459360;16409
959;459361;229871;17814;459361;460319;16393
960;460320;233161;17835;460320;461279;16332
961;461280;232948;17844;461280;462240;16508
962;462241;230855;17860;462241;463202;16451
963;463203;231542;17888;463203;464165;16427
964;464166;232297;17910;464166;465129;16494
965;465130;234685;17913;465130;466094;16554
966;466095;230811;17940;466095;467060;16493
967;467061;234647;17971;467061;468027;16521
968;468028;237151;18010;468028;468995;16508
969;468996;233522;17987;468996;469964;16624
970;469965;231442;18048;469965;470934;16631
971;470935;236578;18056;470935;471905;16591
972;471906;236435;18074;471906;472877;16650
973;472878;239108;18093;472878;473850;16834
974;473851;233777;18103;473851;474824;16717
975;474825;239106;18113;474825;475799;16705
976;475800;237219;18153;475800;476775;16668
977;476776;236912;18165;476776;477752;16780
978;477753;240162;18180;477753;478730;16791
979;478731;240595;18183;478731;479709;16739
980;479710;242469;18238;479710;480689;16826
981;480690;242449;18230;480690;481670;16902
982;481671;238992;18264;481671;482652;16781
983;482653;243557;18307;482653;483635;16845
984;483636;243810;18321;483636;484619;16832
985;484620;244143;18335;484620;485604;16964
986;485605;243440;18366;485605;486590;16923
987;486591;247777;18369;486591;487577;16911
988;487578;244972;18380;487578;488565;16958
989;488566;247285;18440;488566;489554;17138
990;489555;246476;18450;489555;490544;17057
991;490545;244225;18456;490545;491535;17001
992;491536;248015;18510;491536;492527;16972
993;492528;244009;18526;492528;493520;17096
994;493521;245647;18540;493521;494514;17123
995;494515;247121;18535;494515;495509;17099
996;495510;249286;18569;495510;496505;17150
997;496506;249104;18574;496506;497502;17210
998;497503;249665;18624;497503;498500;17161
999;498501;249592;18609;498501;499499;17125
1000;499500;249851;18644;499500;500499;17132
